societaire,montant_moyen,nb_transactions_mois,dernière_transaction,dernière_transaction_jour
57,11882.982456140351,57,2025-08-18,15
100,13226.442307692309,52,2025-08-18,15
215,106800.0,5,2025-07-29,35
225,38800.0,5,2025-07-09,55
234,78817.85714285714,14,2025-08-17,16
370,36764.09090909091,11,2025-07-29,35
372,123125.0,8,2025-08-04,29
407,12333.333333333334,6,2025-08-18,15
520,34298.72549019608,51,2025-08-17,16
592,6300.0,29,2025-08-18,15
629,132000.0,4,2025-08-14,19
687,27670.0,10,2025-08-12,21
699,89107.5,4,2025-08-07,26
701,93322.35294117648,17,2025-08-18,15
703,42775.0,4,2025-07-05,59
713,44905.0,4,2025-08-15,18
731,21618.0,5,2025-08-14,19
751,60000.0,2,2025-08-10,23
763,145000.0,3,2025-08-09,24
1038,131857.14285714287,7,2025-07-31,33
1075,86100.0,10,2025-08-17,16
1105,64515.625,16,2025-08-15,18
1122,30083.333333333332,3,2025-08-08,25
1139,41522.878787878784,33,2025-08-16,17
1168,59000.0,13,2025-08-06,27
1183,37616.0,5,2025-07-26,38
1193,35852.5,4,2025-08-05,28
1268,78039.16666666667,6,2025-07-30,34
1269,53331.25,8,2025-07-24,40
1306,141514.44444444444,9,2025-07-28,36
1339,25709.384615384617,26,2025-07-25,39
1365,51353.0,2,2025-07-18,46
1379,89666.66666666667,6,2025-07-30,34
1382,52555.39215686275,51,2025-08-18,15
1419,83333.33333333333,3,2025-07-20,44
1424,85000.0,1,2025-07-17,47
1446,135521.66666666666,3,2025-07-30,34
1456,142925.0,4,2025-07-28,36
1457,25500.0,2,2025-08-12,21
1483,81571.42857142857,7,2025-08-05,28
1519,196000.0,2,2025-07-29,35
1525,59800.0,2,2025-08-09,24
1584,74652.0,5,2025-08-07,26
1594,58997.5,4,2025-07-30,34
1603,15705.645161290322,31,2025-07-25,39
1645,23666.666666666668,3,2025-07-31,33
1655,8375.4,25,2025-07-31,33
1677,6666.666666666667,3,2025-08-06,27
1685,89235.0,7,2025-08-05,28
1701,95200.0,2,2025-07-25,39
1720,30502.14285714286,14,2025-08-16,17
1741,94187.5,4,2025-08-05,28
1756,63000.0,4,2025-08-11,22
1778,36394.444444444445,9,2025-08-13,20
1799,35388.125,16,2025-08-16,17
1854,100000.0,2,2025-08-08,25
1880,38750.0,45,2025-08-18,15
1887,83921.57894736843,19,2025-08-12,21
1894,47235.75,40,2025-08-14,19
1910,70800.0,8,2025-07-31,33
1987,24741.81818181818,11,2025-08-05,28
1996,104000.0,4,2025-07-28,36
2010,32304.166666666668,24,2025-08-15,18
2016,52932.0,35,2025-08-16,17
2019,39286.666666666664,15,2025-08-17,16
2037,14068.181818181818,22,2025-08-05,28
2106,18875.0,4,2025-06-29,65
2157,92916.66666666667,12,2025-08-18,15
2173,8888.9375,96,2025-08-17,16
2206,54700.0,1,2025-08-05,28
2295,41890.0,4,2025-07-30,34
2309,20000.0,7,2025-08-18,15
2419,39274.0,15,2025-08-06,27
2503,100000.0,1,2025-07-29,35
2511,41247.63636363636,11,2025-08-05,28
2711,64673.333333333336,3,2025-08-08,25
2726,6060.0,11,2025-06-29,65
2802,94381.5,20,2025-08-18,15
2823,6933.392857142857,28,2025-08-17,16
2868,10000.0,1,2025-06-25,69
2875,11500.0,2,2025-08-07,26
2968,100333.33333333333,3,2025-08-08,25
2975,100000.0,1,2025-07-21,43
2993,4507.317073170731,41,2025-08-10,23
3031,4186.666666666667,3,2025-06-19,75
3042,27605.0,16,2025-08-11,22
3122,94000.0,1,2025-08-18,15
3128,5050.0,1,2025-07-13,51
3183,20507.5,4,2025-06-26,68
3210,20900.0,10,2025-08-17,16
3288,50000.0,1,2025-07-26,38
3366,97320.71428571429,21,2025-08-18,15
3375,26411.739130434784,23,2025-08-15,18
3380,55000.0,6,2025-08-11,22
3395,39800.0,2,2025-08-05,28
3397,36000.0,3,2025-08-05,28
3409,91657.30769230769,13,2025-08-12,21
3473,48278.0,5,2025-08-16,17
3503,135300.0,4,2025-07-29,35
3511,25252.635135135137,74,2025-08-18,15
3531,32500.0,1,2025-07-04,60
3545,55000.0,11,2025-07-28,36
3547,24745.0,9,2025-08-15,18
3875,30000.0,2,2025-08-09,24
4335,65000.0,2,2025-07-12,52
4336,56125.0,2,2025-07-30,34
4347,113000.0,6,2025-08-11,22
4405,29822.4,25,2025-08-16,17
4435,18470.0,18,2025-08-12,21
4443,55000.0,1,2025-08-07,26
