societaire,montant_moyen,nb_transactions_mois,dernière_transaction,dernière_transaction_jour
57,11882.982456140351,57,2025-08-18,11
100,13226.442307692309,52,2025-08-18,11
215,106800.0,5,2025-07-29,31
225,38800.0,5,2025-07-09,51
234,78817.85714285714,14,2025-08-17,12
370,36764.09090909091,11,2025-07-29,31
372,123125.0,8,2025-08-04,25
407,12333.333333333334,6,2025-08-18,11
520,34298.72549019608,51,2025-08-17,12
592,6300.0,29,2025-08-18,11
629,132000.0,4,2025-08-14,15
687,27670.0,10,2025-08-12,17
699,89107.5,4,2025-08-07,22
701,93322.35294117648,17,2025-08-18,11
703,42775.0,4,2025-07-05,55
713,44905.0,4,2025-08-15,14
731,21618.0,5,2025-08-14,15
751,60000.0,2,2025-08-10,19
763,145000.0,3,2025-08-09,20
1038,131857.14285714287,7,2025-07-31,29
1075,86100.0,10,2025-08-17,12
1105,64515.625,16,2025-08-15,14
1122,30083.333333333332,3,2025-08-08,21
1139,41522.878787878784,33,2025-08-16,13
1168,59000.0,13,2025-08-06,23
1183,37616.0,5,2025-07-26,34
1193,35852.5,4,2025-08-05,24
1268,78039.16666666667,6,2025-07-30,30
1269,53331.25,8,2025-07-24,36
1306,141514.44444444444,9,2025-07-28,32
1339,25709.384615384617,26,2025-07-25,35
1365,51353.0,2,2025-07-18,42
1379,89666.66666666667,6,2025-07-30,30
1382,52555.39215686275,51,2025-08-18,11
1419,83333.33333333333,3,2025-07-20,40
1424,85000.0,1,2025-07-17,43
1446,135521.66666666666,3,2025-07-30,30
1456,142925.0,4,2025-07-28,32
1457,25500.0,2,2025-08-12,17
1483,81571.42857142857,7,2025-08-05,24
1519,196000.0,2,2025-07-29,31
1525,59800.0,2,2025-08-09,20
1584,74652.0,5,2025-08-07,22
1594,58997.5,4,2025-07-30,30
1603,15705.645161290322,31,2025-07-25,35
1645,23666.666666666668,3,2025-07-31,29
1655,8375.4,25,2025-07-31,29
1677,6666.666666666667,3,2025-08-06,23
1685,89235.0,7,2025-08-05,24
1701,95200.0,2,2025-07-25,35
1720,30502.14285714286,14,2025-08-16,13
1741,94187.5,4,2025-08-05,24
1756,63000.0,4,2025-08-11,18
1778,36394.444444444445,9,2025-08-13,16
1799,35388.125,16,2025-08-16,13
1854,100000.0,2,2025-08-08,21
1880,38750.0,45,2025-08-18,11
1887,83921.57894736843,19,2025-08-12,17
1894,47235.75,40,2025-08-14,15
1910,70800.0,8,2025-07-31,29
1987,24741.81818181818,11,2025-08-05,24
1996,104000.0,4,2025-07-28,32
2010,32304.166666666668,24,2025-08-15,14
2016,52932.0,35,2025-08-16,13
2019,39286.666666666664,15,2025-08-17,12
2037,14068.181818181818,22,2025-08-05,24
2106,18875.0,4,2025-06-29,61
2157,92916.66666666667,12,2025-08-18,11
2173,8888.9375,96,2025-08-17,12
2206,54700.0,1,2025-08-05,24
2295,41890.0,4,2025-07-30,30
2309,20000.0,7,2025-08-18,11
2419,39274.0,15,2025-08-06,23
2503,100000.0,1,2025-07-29,31
2511,41247.63636363636,11,2025-08-05,24
2711,64673.333333333336,3,2025-08-08,21
2726,6060.0,11,2025-06-29,61
2802,94381.5,20,2025-08-18,11
2823,6933.392857142857,28,2025-08-17,12
2868,10000.0,1,2025-06-25,65
2875,11500.0,2,2025-08-07,22
2968,100333.33333333333,3,2025-08-08,21
2975,100000.0,1,2025-07-21,39
2993,4507.317073170731,41,2025-08-10,19
3031,4186.666666666667,3,2025-06-19,71
3042,27605.0,16,2025-08-11,18
3122,94000.0,1,2025-08-18,11
3128,5050.0,1,2025-07-13,47
3183,20507.5,4,2025-06-26,64
