client_id;montant_moyen;dernière_transaction;nb_transactions_mois;dernière_transaction_jour
57;11883;18/08/2025;57;11
100;13226;18/08/2025;52;11
215;106800;29/07/2025;5;31
225;38800;09/07/2025;5;51
234;78818;17/08/2025;14;12
370;36764;29/07/2025;11;31
372;123125;04/08/2025;8;25
407;12333;18/08/2025;6;11
520;34299;17/08/2025;51;12
592;6300;18/08/2025;29;11
629;132000;14/08/2025;4;15
687;27670;12/08/2025;10;17
699;89108;07/08/2025;4;22
701;93322;18/08/2025;17;11
703;42775;05/07/2025;4;55
713;44905;15/08/2025;4;14
731;21618;14/08/2025;5;15
751;60000;10/08/2025;2;19
763;145000;09/08/2025;3;20
1038;131857;31/07/2025;7;29
1075;86100;17/08/2025;10;12
1105;64516;15/08/2025;16;14
1122;30083;08/08/2025;3;21
1139;41523;16/08/2025;33;13
1168;59000;06/08/2025;13;23
1183;37616;26/07/2025;5;34
1193;35852;05/08/2025;4;24
1268;78039;30/07/2025;6;30
1269;53331;24/07/2025;8;36
1306;141514;28/07/2025;9;32
1339;25709;25/07/2025;26;35
1365;51353;18/07/2025;2;42
1379;89667;30/07/2025;6;30
1382;52555;18/08/2025;51;11
1419;83333;20/07/2025;3;40
1424;85000;17/07/2025;1;43
1446;135522;30/07/2025;3;30
1456;142925;28/07/2025;4;32
1457;25500;12/08/2025;2;17
1483;81571;05/08/2025;7;24
1519;196000;29/07/2025;2;31
1525;59800;09/08/2025;2;20
1584;74652;07/08/2025;5;22
1594;58998;30/07/2025;4;30
1603;15706;25/07/2025;31;35
1645;23667;31/07/2025;3;29
1655;8375;31/07/2025;25;29
1677;6667;06/08/2025;3;23
1685;89235;05/08/2025;7;24
1701;95200;25/07/2025;2;35
1720;30502;16/08/2025;14;13
1741;94188;05/08/2025;4;24
1756;63000;11/08/2025;4;18
1778;36394;13/08/2025;9;16
1799;35388;16/08/2025;16;13
1854;100000;08/08/2025;2;21
1880;38750;18/08/2025;45;11
1887;83922;12/08/2025;19;17
1894;47236;14/08/2025;40;15
1910;70800;31/07/2025;8;29
1987;24742;05/08/2025;11;24
1996;104000;28/07/2025;4;32
2010;32304;15/08/2025;24;14
2016;52932;16/08/2025;35;13
2019;39287;17/08/2025;15;12
2037;14068;05/08/2025;22;24
2106;18875;29/06/2025;4;61
2157;92917;18/08/2025;12;11
