client_id;montant_moyen;derniere_transaction;nb_transactions_mois;derniere_transaction_jour;cluster_name;cluster
57;11883;2025-08-18;57;15;Petits mais actifs (faible montant, très actifs);12
100;13226;2025-08-18;52;15;Petits mais actifs (faible montant, très actifs);12
215;106800;2025-07-29;5;35;Élevé montant / moyen activité / ancien;18
225;38800;2025-07-09;5;55;Moyen montant / moyen activité / ancien;8
234;78818;2025-08-17;14;16;VIP (montant élevé, très actifs, récents);14
370;36764;2025-07-29;11;35;Moyen montant / élevé activité / ancien;11
372;123125;2025-08-04;8;29;Élevé montant / moyen activité / intermédiaire;19
407;12333;2025-08-18;6;15;Faible montant / moyen activité / récent;3
520;34299;2025-08-17;51;16;Fidèles réguliers (activité élevée, montant moyen);4
592;6300;2025-08-18;29;15;Petits mais actifs (faible montant, très actifs);12
629;132000;2025-08-14;4;19;Élevé montant / moyen activité / récent;20
687;27670;2025-08-12;10;21;Fidèles réguliers (activité élevée, montant moyen);4
699;89108;2025-08-07;4;26;Élevé montant / moyen activité / intermédiaire;19
701;93322;2025-08-18;17;15;VIP (montant élevé, très actifs, récents);14
703;42775;2025-07-05;4;59;Moyen montant / moyen activité / ancien;8
713;44905;2025-08-15;4;18;Moyen montant / moyen activité / récent;10
731;21618;2025-08-14;5;19;Faible montant / moyen activité / récent;3
751;60000;2025-08-10;2;23;Moyen montant / faible activité / intermédiaire;6
763;145000;2025-08-09;3;24;Élevé montant / faible activité / intermédiaire;16
1038;131857;2025-07-31;7;33;Élevé montant / moyen activité / intermédiaire;19
1075;86100;2025-08-17;10;16;VIP (montant élevé, très actifs, récents);14
1105;64516;2025-08-15;16;18;VIP (montant élevé, très actifs, récents);14
1122;30083;2025-08-08;3;25;Moyen montant / faible activité / intermédiaire;6
1139;41523;2025-08-16;33;17;Fidèles réguliers (activité élevée, montant moyen);4
1168;59000;2025-08-06;13;27;Fidèles réguliers (activité élevée, montant moyen);4
1183;37616;2025-07-26;5;38;Moyen montant / moyen activité / ancien;8
1193;35852;2025-08-05;4;28;Moyen montant / moyen activité / intermédiaire;9
1268;78039;2025-07-30;6;34;Élevé montant / moyen activité / ancien;18
1269;53331;2025-07-24;8;40;Moyen montant / moyen activité / ancien;8
1306;141514;2025-07-28;9;36;Élevé montant / moyen activité / ancien;18
1339;25709;2025-07-25;26;39;Moyen montant / élevé activité / ancien;11
1365;51353;2025-07-18;2;46;Moyen montant / faible activité / ancien;5
1379;89667;2025-07-30;6;34;Élevé montant / moyen activité / ancien;18
1382;52555;2025-08-18;51;15;Fidèles réguliers (activité élevée, montant moyen);4
1419;83333;2025-07-20;3;44;Premium dormants (haut montant, peu actifs, anciens);13
1424;85000;2025-07-17;1;47;Premium dormants (haut montant, peu actifs, anciens);13
1446;135522;2025-07-30;3;34;Premium dormants (haut montant, peu actifs, anciens);13
1456;142925;2025-07-28;4;36;Élevé montant / moyen activité / ancien;18
1457;25500;2025-08-12;2;21;Moyen montant / faible activité / récent;7
1483;81571;2025-08-05;7;28;Élevé montant / moyen activité / intermédiaire;19
1519;196000;2025-07-29;2;35;Premium dormants (haut montant, peu actifs, anciens);13
1525;59800;2025-08-09;2;24;Moyen montant / faible activité / intermédiaire;6
1584;74652;2025-08-07;5;26;Élevé montant / moyen activité / intermédiaire;19
1594;58998;2025-07-30;4;34;Moyen montant / moyen activité / ancien;8
1603;15706;2025-07-25;31;39;Petits mais actifs (faible montant, très actifs);12
1645;23667;2025-07-31;3;33;Moyen montant / faible activité / intermédiaire;6
1655;8375;2025-07-31;25;33;Petits mais actifs (faible montant, très actifs);12
1677;6667;2025-08-06;3;27;Faible montant / faible activité / intermédiaire;0
1685;89235;2025-08-05;7;28;Élevé montant / moyen activité / intermédiaire;19
1701;95200;2025-07-25;2;39;Premium dormants (haut montant, peu actifs, anciens);13
1720;30502;2025-08-16;14;17;Fidèles réguliers (activité élevée, montant moyen);4
1741;94188;2025-08-05;4;28;Élevé montant / moyen activité / intermédiaire;19
1756;63000;2025-08-11;4;22;Élevé montant / moyen activité / récent;20
1778;36394;2025-08-13;9;20;Moyen montant / moyen activité / récent;10
1799;35388;2025-08-16;16;17;Fidèles réguliers (activité élevée, montant moyen);4
1854;100000;2025-08-08;2;25;Élevé montant / faible activité / intermédiaire;16
1880;38750;2025-08-18;45;15;Fidèles réguliers (activité élevée, montant moyen);4
1887;83922;2025-08-12;19;21;VIP (montant élevé, très actifs, récents);14
1894;47236;2025-08-14;40;19;Fidèles réguliers (activité élevée, montant moyen);4
1910;70800;2025-07-31;8;33;Élevé montant / moyen activité / intermédiaire;19
1987;24742;2025-08-05;11;28;Fidèles réguliers (activité élevée, montant moyen);4
1996;104000;2025-07-28;4;36;Élevé montant / moyen activité / ancien;18
2010;32304;2025-08-15;24;18;Fidèles réguliers (activité élevée, montant moyen);4
2016;52932;2025-08-16;35;17;Fidèles réguliers (activité élevée, montant moyen);4
2019;39287;2025-08-17;15;16;Fidèles réguliers (activité élevée, montant moyen);4
2037;14068;2025-08-05;22;28;Petits mais actifs (faible montant, très actifs);12
2106;18875;2025-06-29;4;65;À réactiver (petit montant, anciens);15
2157;92917;2025-08-18;12;15;VIP (montant élevé, très actifs, récents);14
2173;8889;2025-08-17;96;16;Petits mais actifs (faible montant, très actifs);12
2206;54700;2025-08-05;1;28;Moyen montant / faible activité / intermédiaire;6
2295;41890;2025-07-30;4;34;Moyen montant / moyen activité / ancien;8
2309;20000;2025-08-18;7;15;Faible montant / moyen activité / récent;3
2419;39274;2025-08-06;15;27;Fidèles réguliers (activité élevée, montant moyen);4
2503;100000;2025-07-29;1;35;Premium dormants (haut montant, peu actifs, anciens);13
2511;41248;2025-08-05;11;28;Fidèles réguliers (activité élevée, montant moyen);4
2711;64673;2025-08-08;3;25;Élevé montant / faible activité / intermédiaire;16
2726;6060;2025-06-29;11;65;Petits mais actifs (faible montant, très actifs);12
2802;94382;2025-08-18;20;15;VIP (montant élevé, très actifs, récents);14
2823;6933;2025-08-17;28;16;Petits mais actifs (faible montant, très actifs);12
2868;10000;2025-06-25;1;69;À réactiver (petit montant, anciens);15
2875;11500;2025-08-07;2;26;Faible montant / faible activité / intermédiaire;0
2968;100333;2025-08-08;3;25;Élevé montant / faible activité / intermédiaire;16
2975;100000;2025-07-21;1;43;Premium dormants (haut montant, peu actifs, anciens);13
2993;4507;2025-08-10;41;23;Petits mais actifs (faible montant, très actifs);12
3031;4187;2025-06-19;3;75;À réactiver (petit montant, anciens);15
3042;27605;2025-08-11;16;22;Fidèles réguliers (activité élevée, montant moyen);4
3122;94000;2025-08-18;1;15;Élevé montant / faible activité / récent;17
3128;5050;2025-07-13;1;51;À réactiver (petit montant, anciens);15
3183;20508;2025-06-26;4;68;À réactiver (petit montant, anciens);15
3210;20900;2025-08-17;10;16;Petits mais actifs (faible montant, très actifs);12
3288;50000;2025-07-26;1;38;Moyen montant / faible activité / ancien;5
3366;97321;2025-08-18;21;15;VIP (montant élevé, très actifs, récents);14
3375;26412;2025-08-15;23;18;Fidèles réguliers (activité élevée, montant moyen);4
3380;55000;2025-08-11;6;22;Moyen montant / moyen activité / récent;10
