client_id,montant_moyen,dernière_transaction,nb_transactions_mois,dernière_transaction_jour,anomalie
1,10000,11/08/2025,12,17,0
2,20000,12/08/2025,8,16,0
3,30000,13/08/2025,21,15,-1
4,40000,14/08/2025,2,14,0
5,50000,15/08/2025,15,13,0
6,60000,16/08/2025,17,12,0
7,70000,17/08/2025,9,11,0
8,80000,18/08/2025,11,10,0
9,90000,19/08/2025,14,9,0
10,100000,20/08/2025,18,8,0
11,568106,03/08/2025,17,25,0
12,531983,06/08/2025,4,22,0
13,926593,13/08/2025,2,15,0
14,936931,08/08/2025,11,20,0
15,481935,06/08/2025,9,22,0
16,261830,21/08/2025,1,7,0
17,976144,01/08/2025,20,27,0
18,532320,24/08/2025,14,4,0
19,540509,03/08/2025,2,25,0
20,81826,15/08/2025,12,13,0
21,311976,03/08/2025,18,25,0
22,296018,11/08/2025,13,17,0
23,562100,13/08/2025,21,15,0
24,750614,09/08/2025,7,19,0
25,349793,02/08/2025,11,26,0
26,609111,09/08/2025,12,19,0
27,555298,10/08/2025,10,18,0
28,394145,22/08/2025,16,6,0
29,80316,06/08/2025,21,22,0
30,291023,12/08/2025,19,16,0
31,874230,04/08/2025,17,24,0
32,779580,03/08/2025,4,25,0
33,81519,25/08/2025,23,3,1
34,421928,17/08/2025,8,11,0
35,285946,17/08/2025,19,11,0
36,765700,16/08/2025,13,12,0
37,975364,06/08/2025,3,22,0
38,720211,05/08/2025,15,23,0
39,407069,01/08/2025,17,27,0
40,506168,03/08/2025,3,25,0
41,974647,02/08/2025,20,26,0
42,929414,25/08/2025,11,3,0
43,975593,25/08/2025,13,3,0
44,441979,14/08/2025,11,14,0
45,797388,12/08/2025,14,16,0
46,223975,17/08/2025,13,11,0
47,498759,06/08/2025,3,22,0
48,848054,05/08/2025,11,23,0
49,512342,10/08/2025,17,18,0
50,95705,18/08/2025,20,10,0
51,711227,14/08/2025,9,14,0
52,262474,08/08/2025,25,20,0
53,668519,04/08/2025,9,24,0
54,636248,11/08/2025,0,17,0
55,225147,08/08/2025,12,20,0
56,810924,11/08/2025,10,17,0
57,689677,11/08/2025,17,17,0
58,877835,07/08/2025,10,21,0
59,316036,07/08/2025,25,21,0
60,829487,11/08/2025,16,17,0
61,753086,09/08/2025,23,19,0
62,453098,05/08/2025,18,23,0
63,198215,11/08/2025,22,17,0
64,474370,12/08/2025,21,16,0
65,647172,08/08/2025,9,20,0
66,332430,25/08/2025,24,3,0
67,494644,21/08/2025,9,7,0
68,525846,22/08/2025,22,6,0
69,683036,02/08/2025,18,26,0
70,454302,22/08/2025,3,6,0
71,573497,19/08/2025,13,9,0
72,144813,12/08/2025,12,16,0
73,968944,03/08/2025,18,25,0
74,472327,13/08/2025,25,15,0
75,830273,08/08/2025,18,20,0
76,936345,06/08/2025,0,22,0
77,483681,13/08/2025,12,15,0
78,894239,10/08/2025,21,18,0
79,295602,25/08/2025,12,3,0
80,288004,01/08/2025,10,27,0
81,168837,24/08/2025,12,4,0
82,366203,13/08/2025,12,15,0
83,299043,21/08/2025,17,7,0
84,160241,20/08/2025,19,8,0
85,697722,15/08/2025,3,13,0
86,957288,01/08/2025,3,27,-1
87,807179,09/08/2025,10,19,0
88,300678,08/08/2025,3,20,0
89,667809,20/08/2025,9,8,0
90,534649,12/08/2025,7,16,0
91,485483,13/08/2025,12,15,0
92,860939,25/08/2025,8,3,0
93,728530,03/08/2025,24,25,0
94,356614,12/08/2025,17,16,0
95,796343,20/08/2025,2,8,0
96,391447,20/08/2025,18,8,0
97,728190,05/08/2025,25,23,0
98,887408,02/08/2025,9,26,0
99,212662,11/08/2025,7,17,0
100,586557,06/08/2025,3,22,0
101,565133,06/08/2025,8,22,0
102,477501,01/08/2025,13,27,0
103,258480,08/08/2025,0,20,0
104,603351,01/08/2025,14,27,0
105,382084,20/08/2025,10,8,0
106,98519,11/08/2025,4,17,0
107,532892,17/08/2025,3,11,0
108,643306,03/08/2025,21,25,0
109,304146,24/08/2025,13,4,0
110,684078,21/08/2025,12,7,0
111,353896,07/08/2025,7,21,0
112,382669,04/08/2025,18,24,0
113,844094,22/08/2025,3,6,0
114,265712,22/08/2025,13,6,0
115,806653,22/08/2025,25,6,0
116,180277,12/08/2025,21,16,0
117,146254,25/08/2025,17,3,0
118,580113,05/08/2025,19,23,0
119,843221,24/08/2025,13,4,0
120,650976,09/08/2025,5,19,0
121,764715,16/08/2025,2,12,0
122,553683,08/08/2025,7,20,0
123,933935,25/08/2025,18,3,0
124,150862,03/08/2025,16,25,0
125,977184,06/08/2025,17,22,0
126,600065,20/08/2025,17,8,0
127,975397,06/08/2025,20,22,0
128,275148,25/08/2025,11,3,0
129,225696,02/08/2025,3,26,0
130,788956,07/08/2025,10,21,0
131,63425,20/08/2025,0,8,-1
132,742118,13/08/2025,9,15,0
133,259278,19/08/2025,13,9,0
134,752458,14/08/2025,7,14,0
135,389849,11/08/2025,7,17,0
136,489769,23/08/2025,6,5,0
137,744104,04/08/2025,22,24,0
138,294299,06/08/2025,18,22,0
139,575367,20/08/2025,7,8,0
140,550995,15/08/2025,5,13,0
141,996435,19/08/2025,15,9,-1
142,481945,15/08/2025,14,13,0
143,583556,14/08/2025,3,14,0
144,760228,22/08/2025,15,6,0
145,423800,02/08/2025,18,26,0
146,791199,07/08/2025,0,21,0
147,303666,02/08/2025,23,26,0
148,667507,02/08/2025,11,26,0
149,714648,01/08/2025,10,27,0
150,489691,08/08/2025,5,20,0
151,193761,16/08/2025,5,12,0
152,486356,07/08/2025,8,21,0
153,150687,15/08/2025,8,13,0
154,259515,02/08/2025,8,26,0
155,158290,01/08/2025,5,27,0
156,726351,07/08/2025,12,21,0
157,767052,18/08/2025,25,10,0
158,494707,02/08/2025,1,26,0
159,909603,14/08/2025,16,14,0
160,915108,21/08/2025,7,7,0
161,285780,05/08/2025,21,23,0
162,696646,16/08/2025,11,12,0
163,751958,11/08/2025,24,17,0
164,678635,08/08/2025,3,20,0
165,69044,15/08/2025,3,13,0
166,552798,18/08/2025,19,10,0
167,837273,24/08/2025,16,4,0
168,739001,10/08/2025,16,18,0
169,172421,04/08/2025,3,24,0
170,38943,06/08/2025,4,22,0
171,493575,18/08/2025,10,10,0
172,791730,12/08/2025,0,16,0
173,611394,24/08/2025,11,4,0
174,462471,23/08/2025,16,5,0
175,524419,09/08/2025,0,19,0
176,36849,23/08/2025,21,5,1
177,137492,25/08/2025,18,3,0
178,290175,14/08/2025,0,14,0
179,502816,01/08/2025,6,27,0
180,292822,07/08/2025,9,21,0
181,285408,06/08/2025,21,22,0
182,844272,08/08/2025,12,20,0
183,168489,09/08/2025,6,19,0
184,760893,08/08/2025,5,20,0
185,313763,05/08/2025,12,23,0
186,463056,17/08/2025,19,11,0
187,19674,03/08/2025,16,25,0
188,291731,03/08/2025,12,25,0
189,843633,21/08/2025,9,7,0
190,554658,07/08/2025,0,21,0
191,145281,20/08/2025,5,8,0
192,514175,12/08/2025,1,16,0
193,520659,07/08/2025,7,21,0
194,212822,25/08/2025,20,3,0
195,342848,24/08/2025,22,4,0
196,641664,07/08/2025,0,21,0
197,360878,21/08/2025,5,7,0
198,906454,22/08/2025,17,6,0
199,936464,12/08/2025,0,16,0
200,11005,07/08/2025,1,21,0
201,429120,24/08/2025,23,4,0
202,440391,20/08/2025,18,8,0
203,396335,06/08/2025,4,22,0
204,812868,17/08/2025,18,11,0
205,75378,12/08/2025,5,16,0
206,769296,07/08/2025,7,21,0
207,110468,13/08/2025,14,15,0
208,803949,03/08/2025,23,25,0
209,548944,18/08/2025,25,10,0
210,188171,25/08/2025,0,3,0
211,725024,16/08/2025,15,12,0
212,828651,01/08/2025,2,27,0
213,46076,18/08/2025,7,10,0
214,444297,14/08/2025,8,14,0
215,680054,01/08/2025,25,27,0
216,389092,18/08/2025,24,10,0
217,174310,07/08/2025,2,21,0
218,729091,10/08/2025,25,18,0
219,348759,04/08/2025,23,24,0
220,947039,03/08/2025,22,25,0
221,83010,16/08/2025,23,12,0
222,318933,02/08/2025,11,26,0
223,974602,13/08/2025,9,15,0
224,570357,06/08/2025,7,22,0
225,404338,19/08/2025,20,9,0
226,987613,06/08/2025,12,22,0
227,923942,03/08/2025,17,25,0
228,812660,10/08/2025,16,18,0
229,260785,21/08/2025,24,7,0
230,148956,23/08/2025,5,5,0
231,966642,11/08/2025,21,17,0
232,384525,15/08/2025,0,13,0
233,765944,03/08/2025,11,25,0
234,707565,15/08/2025,9,13,0
235,354345,18/08/2025,18,10,0
236,501582,13/08/2025,23,15,0
237,32014,08/08/2025,18,20,0
238,144740,24/08/2025,8,4,0
239,215826,15/08/2025,16,13,0
240,541438,02/08/2025,19,26,0
241,858558,18/08/2025,10,10,0
242,239414,05/08/2025,12,23,0
243,958918,13/08/2025,18,15,0
244,24981,24/08/2025,7,4,0
245,866671,19/08/2025,11,9,0
246,130725,03/08/2025,17,25,0
247,379764,13/08/2025,18,15,0
248,462197,04/08/2025,24,24,0
249,717861,17/08/2025,10,11,0
250,716178,16/08/2025,18,12,0
251,604010,21/08/2025,16,7,0
252,669236,10/08/2025,3,18,0
253,977676,17/08/2025,23,11,0
254,716050,06/08/2025,12,22,0
255,373724,25/08/2025,1,3,0
256,916600,13/08/2025,7,15,0
257,285752,14/08/2025,24,14,0
258,734772,17/08/2025,20,11,0
259,748691,24/08/2025,9,4,0
260,689594,03/08/2025,10,25,0
261,956206,20/08/2025,4,8,0
262,126828,20/08/2025,6,8,0
263,699325,23/08/2025,14,5,0
264,235285,18/08/2025,4,10,0
265,816950,21/08/2025,1,7,0
266,984029,12/08/2025,4,16,0
267,251263,24/08/2025,24,4,0
268,803146,08/08/2025,13,20,0
269,64921,08/08/2025,7,20,0
270,913804,06/08/2025,18,22,0
271,358284,02/08/2025,10,26,0
272,842907,06/08/2025,25,22,0
273,467028,18/08/2025,22,10,0
274,505877,15/08/2025,8,13,0
275,415434,06/08/2025,8,22,0
276,49692,24/08/2025,23,4,1
277,542297,09/08/2025,15,19,0
278,276773,13/08/2025,22,15,0
279,244089,03/08/2025,12,25,0
280,79198,01/08/2025,18,27,0
281,985808,20/08/2025,2,8,0
282,743462,17/08/2025,6,11,0
283,996644,15/08/2025,4,13,0
284,332590,20/08/2025,12,8,0
285,396006,03/08/2025,7,25,0
286,16181,11/08/2025,18,17,0
287,756507,22/08/2025,2,6,0
288,651118,05/08/2025,10,23,0
289,528079,04/08/2025,15,24,0
290,307601,01/08/2025,0,27,0
291,427693,13/08/2025,12,15,0
292,658309,21/08/2025,5,7,0
293,249058,10/08/2025,20,18,0
294,567632,24/08/2025,17,4,0
295,973629,25/08/2025,12,3,0
296,337788,04/08/2025,24,24,0
297,677895,13/08/2025,16,15,0
298,957745,17/08/2025,1,11,0
299,668649,15/08/2025,10,13,0
300,252464,16/08/2025,7,12,0
301,757604,11/08/2025,6,17,0
302,20016,01/08/2025,19,27,0
303,244857,16/08/2025,5,12,0
304,989667,13/08/2025,14,15,0
305,570118,22/08/2025,10,6,0
306,531879,08/08/2025,18,20,0
307,616484,18/08/2025,25,10,0
308,57963,03/08/2025,15,25,0
309,780655,12/08/2025,23,16,0
310,302021,25/08/2025,11,3,0
311,224596,18/08/2025,4,10,0
312,96767,24/08/2025,23,4,1
313,342164,15/08/2025,17,13,0
314,418066,24/08/2025,18,4,0
315,62193,10/08/2025,17,18,0
316,807719,08/08/2025,24,20,0
317,824379,14/08/2025,20,14,0
318,436065,06/08/2025,11,22,0
319,708101,03/08/2025,10,25,0
320,537928,12/08/2025,20,16,0
321,498385,01/08/2025,19,27,0
322,860643,05/08/2025,7,23,0
323,58195,18/08/2025,10,10,0
324,481388,07/08/2025,23,21,0
325,888799,12/08/2025,0,16,0
326,453433,18/08/2025,16,10,0
327,862066,13/08/2025,9,15,0
328,622301,14/08/2025,18,14,0
329,744985,20/08/2025,1,8,0
330,586211,09/08/2025,17,19,0
331,108519,04/08/2025,13,24,0
332,178231,15/08/2025,24,13,0
333,554059,06/08/2025,1,22,0
334,915965,02/08/2025,8,26,0
335,951918,07/08/2025,25,21,0
336,546841,05/08/2025,21,23,0
337,392583,22/08/2025,19,6,0
338,378275,20/08/2025,6,8,0
339,716686,20/08/2025,2,8,0
340,716990,24/08/2025,24,4,0
341,779018,07/08/2025,1,21,0
342,497765,10/08/2025,19,18,0
343,13918,25/08/2025,22,3,1
344,80166,05/08/2025,9,23,0
345,458084,09/08/2025,3,19,0
346,222142,03/08/2025,25,25,0
347,693885,05/08/2025,8,23,0
348,783896,19/08/2025,16,9,0
349,457196,24/08/2025,6,4,0
350,753374,17/08/2025,7,11,0
351,161133,02/08/2025,4,26,0
352,500708,24/08/2025,23,4,0
353,689446,20/08/2025,16,8,0
354,501425,14/08/2025,2,14,0
355,992196,16/08/2025,23,12,0
356,47508,23/08/2025,11,5,0
357,239803,03/08/2025,8,25,0
358,516771,06/08/2025,3,22,0
