client_id,montant_moyen,dernière_transaction,nb_transactions_mois,dernière_transaction_jour,cluster,cluster_name
1,10000,11/08/2025,12,17,5,"Petits mais actifs (faible montant, très actifs)"
2,20000,12/08/2025,8,16,3,Faible montant / faible activité / intermédiaire
3,30000,13/08/2025,21,15,5,"Petits mais actifs (faible montant, très actifs)"
4,40000,14/08/2025,2,14,3,Faible montant / faible activité / intermédiaire
5,50000,15/08/2025,15,13,3,Faible montant / faible activité / intermédiaire
6,60000,16/08/2025,17,12,4,"Fidèles réguliers (activité élevée, montant moyen)"
7,70000,17/08/2025,9,11,3,Faible montant / faible activité / intermédiaire
8,80000,18/08/2025,11,10,3,Faible montant / faible activité / intermédiaire
9,90000,19/08/2025,14,9,3,Faible montant / faible activité / intermédiaire
10,100000,20/08/2025,18,8,4,"Fidèles réguliers (activité élevée, montant moyen)"
11,568106,03/08/2025,17,25,0,Élevé montant / élevé activité / ancien
12,531983,06/08/2025,4,22,1,Moyen montant / faible activité / ancien
13,926593,13/08/2025,2,15,2,Élevé montant / moyen activité / récent
14,936931,08/08/2025,11,20,0,Élevé montant / élevé activité / ancien
15,481935,06/08/2025,9,22,1,Moyen montant / faible activité / ancien
16,261830,21/08/2025,1,7,3,Faible montant / faible activité / intermédiaire
17,976144,01/08/2025,20,27,0,Élevé montant / élevé activité / ancien
18,532320,24/08/2025,14,4,4,"Fidèles réguliers (activité élevée, montant moyen)"
19,540509,03/08/2025,2,25,1,Moyen montant / faible activité / ancien
20,81826,15/08/2025,12,13,3,Faible montant / faible activité / intermédiaire
21,311976,03/08/2025,18,25,5,"Petits mais actifs (faible montant, très actifs)"
22,296018,11/08/2025,13,17,5,"Petits mais actifs (faible montant, très actifs)"
23,562100,13/08/2025,21,15,4,"Fidèles réguliers (activité élevée, montant moyen)"
24,750614,09/08/2025,7,19,1,Moyen montant / faible activité / ancien
25,349793,02/08/2025,11,26,5,"Petits mais actifs (faible montant, très actifs)"
26,609111,09/08/2025,12,19,1,Moyen montant / faible activité / ancien
27,555298,10/08/2025,10,18,1,Moyen montant / faible activité / ancien
28,394145,22/08/2025,16,6,4,"Fidèles réguliers (activité élevée, montant moyen)"
29,80316,06/08/2025,21,22,5,"Petits mais actifs (faible montant, très actifs)"
30,291023,12/08/2025,19,16,5,"Petits mais actifs (faible montant, très actifs)"
31,874230,04/08/2025,17,24,0,Élevé montant / élevé activité / ancien
32,779580,03/08/2025,4,25,1,Moyen montant / faible activité / ancien
33,81519,25/08/2025,23,3,4,"Fidèles réguliers (activité élevée, montant moyen)"
34,421928,17/08/2025,8,11,3,Faible montant / faible activité / intermédiaire
35,285946,17/08/2025,19,11,4,"Fidèles réguliers (activité élevée, montant moyen)"
36,765700,16/08/2025,13,12,2,Élevé montant / moyen activité / récent
37,975364,06/08/2025,3,22,1,Moyen montant / faible activité / ancien
38,720211,05/08/2025,15,23,0,Élevé montant / élevé activité / ancien
39,407069,01/08/2025,17,27,5,"Petits mais actifs (faible montant, très actifs)"
40,506168,03/08/2025,3,25,1,Moyen montant / faible activité / ancien
41,974647,02/08/2025,20,26,0,Élevé montant / élevé activité / ancien
42,929414,25/08/2025,11,3,2,Élevé montant / moyen activité / récent
43,975593,25/08/2025,13,3,2,Élevé montant / moyen activité / récent
44,441979,14/08/2025,11,14,3,Faible montant / faible activité / intermédiaire
45,797388,12/08/2025,14,16,0,Élevé montant / élevé activité / ancien
46,223975,17/08/2025,13,11,3,Faible montant / faible activité / intermédiaire
47,498759,06/08/2025,3,22,1,Moyen montant / faible activité / ancien
48,848054,05/08/2025,11,23,0,Élevé montant / élevé activité / ancien
49,512342,10/08/2025,17,18,5,"Petits mais actifs (faible montant, très actifs)"
50,95705,18/08/2025,20,10,4,"Fidèles réguliers (activité élevée, montant moyen)"
51,711227,14/08/2025,9,14,2,Élevé montant / moyen activité / récent
52,262474,08/08/2025,25,20,5,"Petits mais actifs (faible montant, très actifs)"
53,668519,04/08/2025,9,24,1,Moyen montant / faible activité / ancien
54,636248,11/08/2025,0,17,1,Moyen montant / faible activité / ancien
55,225147,08/08/2025,12,20,5,"Petits mais actifs (faible montant, très actifs)"
56,810924,11/08/2025,10,17,1,Moyen montant / faible activité / ancien
57,689677,11/08/2025,17,17,0,Élevé montant / élevé activité / ancien
58,877835,07/08/2025,10,21,1,Moyen montant / faible activité / ancien
59,316036,07/08/2025,25,21,5,"Petits mais actifs (faible montant, très actifs)"
60,829487,11/08/2025,16,17,0,Élevé montant / élevé activité / ancien
61,753086,09/08/2025,23,19,0,Élevé montant / élevé activité / ancien
62,453098,05/08/2025,18,23,5,"Petits mais actifs (faible montant, très actifs)"
63,198215,11/08/2025,22,17,5,"Petits mais actifs (faible montant, très actifs)"
64,474370,12/08/2025,21,16,4,"Fidèles réguliers (activité élevée, montant moyen)"
65,647172,08/08/2025,9,20,1,Moyen montant / faible activité / ancien
66,332430,25/08/2025,24,3,4,"Fidèles réguliers (activité élevée, montant moyen)"
67,494644,21/08/2025,9,7,2,Élevé montant / moyen activité / récent
68,525846,22/08/2025,22,6,4,"Fidèles réguliers (activité élevée, montant moyen)"
69,683036,02/08/2025,18,26,0,Élevé montant / élevé activité / ancien
70,454302,22/08/2025,3,6,3,Faible montant / faible activité / intermédiaire
71,573497,19/08/2025,13,9,2,Élevé montant / moyen activité / récent
72,144813,12/08/2025,12,16,5,"Petits mais actifs (faible montant, très actifs)"
73,968944,03/08/2025,18,25,0,Élevé montant / élevé activité / ancien
74,472327,13/08/2025,25,15,4,"Fidèles réguliers (activité élevée, montant moyen)"
75,830273,08/08/2025,18,20,0,Élevé montant / élevé activité / ancien
76,936345,06/08/2025,0,22,1,Moyen montant / faible activité / ancien
77,483681,13/08/2025,12,15,3,Faible montant / faible activité / intermédiaire
78,894239,10/08/2025,21,18,0,Élevé montant / élevé activité / ancien
79,295602,25/08/2025,12,3,4,"Fidèles réguliers (activité élevée, montant moyen)"
80,288004,01/08/2025,10,27,5,"Petits mais actifs (faible montant, très actifs)"
81,168837,24/08/2025,12,4,3,Faible montant / faible activité / intermédiaire
82,366203,13/08/2025,12,15,3,Faible montant / faible activité / intermédiaire
83,299043,21/08/2025,17,7,4,"Fidèles réguliers (activité élevée, montant moyen)"
84,160241,20/08/2025,19,8,4,"Fidèles réguliers (activité élevée, montant moyen)"
85,697722,15/08/2025,3,13,2,Élevé montant / moyen activité / récent
86,957288,01/08/2025,3,27,1,Moyen montant / faible activité / ancien
87,807179,09/08/2025,10,19,1,Moyen montant / faible activité / ancien
88,300678,08/08/2025,3,20,1,Moyen montant / faible activité / ancien
89,667809,20/08/2025,9,8,2,Élevé montant / moyen activité / récent
90,534649,12/08/2025,7,16,1,Moyen montant / faible activité / ancien
91,485483,13/08/2025,12,15,3,Faible montant / faible activité / intermédiaire
92,860939,25/08/2025,8,3,2,Élevé montant / moyen activité / récent
